标准账号,unique_leads,unowned_leads,unowned_ratio_pct
抖音-EXEED星途,239,6,2.51%
抖音-星途汽车官方直播间,3827,5,0.13%
抖音-星途汽车直营中心,5101,6,0.12%
抖音-星途汽车直播营销中心,7699,5,0.06%
