标准账号,unique_leads,unowned_leads,unowned_ratio_pct
抖音-星途汽车官方直播间,2931,192,6.55%
抖音-EXEED星途,230,7,3.04%
抖音-星途汽车直播营销中心,7023,7,0.10%
抖音-星途汽车直营中心,5080,4,0.08%
