date,report_bucket,unique_leads,deals_contrib
2026-03-11,直播归因,4,0.0
2026-03-11,自然流入/沉淀,11,0.0
2026-03-10,直播归因,10,0.3333
2026-03-10,自然流入/沉淀,10,0.0
2026-03-09,直播归因,199,0.0
2026-03-09,自然流入/沉淀,2,0.0
2026-03-08,直播归因,498,1.0
2026-03-08,自然流入/沉淀,4,0.0
2026-03-07,直播归因,1,0.0
2026-03-06,直播归因,552,0.0
2026-03-06,自然流入/沉淀,1,0.0
2026-03-05,直播归因,11,1.0
2026-03-05,自然流入/沉淀,1,0.0
2026-03-04,直播归因,8,1.0
2026-03-04,自然流入/沉淀,1,0.0
2026-03-03,直播归因,1,0.0
2026-03-03,自然流入/沉淀,1,0.0
2026-03-02,直播归因,2,0.0
2026-03-01,直播归因,4,0.0
2026-02-27,直播归因,1,0.0
2026-02-26,直播归因,6,0.0
