report_month,date,scope_type,scope_name,parent_account,lead_target_month,deal_target_month,lead_cost_target_month,lead_cost_target_month_disp,cpl_target,cpl_target_disp,cps_target,cps_target_disp,daily_leads,daily_lead_target,daily_lead_attain,daily_lead_attain_pct,mtd_leads,mtd_lead_attain,mtd_lead_attain_pct,daily_deals,daily_deal_target,daily_deal_attain,daily_deal_attain_pct,mtd_deals,mtd_deal_attain,mtd_deal_attain_pct,daily_spend,mtd_spend,daily_cpl,daily_cpl_disp,mtd_cpl,mtd_cpl_disp,daily_cps,daily_cps_disp,mtd_cps,mtd_cps_disp,target_pool
2026-03,2026-03-18,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,,N/A,1.0,,N/A,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.00,快手-EXEED星途
2026-03,2026-03-18,account,抖音-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,169.0,0.0,,N/A,232.0,,N/A,0.0,0.0,,N/A,3.0,,N/A,0.0,3559.55,0.0,0.00,15.3429,15.34,,N/A,1186.5167,1186.52,抖音-EXEED星途
2026-03,2026-03-18,account,抖音-星途汽车官方直播间,,4061.0,34.29,247864.68,247864.68,61.0354,61.04,7228.4829,7228.48,108.0,87.7857,1.2302685109845402,123.03%,2940.0,0.723959615858163,72.40%,0.0,2.0921,0.0,0.00%,5.0,0.1458151064450277,14.58%,30000.0,127049.37,277.7778,277.78,43.2141,43.21,,N/A,25409.874,25409.87,官方+直营目标池
2026-03,2026-03-18,account,抖音-星途汽车直播营销中心,,3045.0,25.71,185898.51,185898.51,61.0504,61.05,7230.5916,7230.59,4381.0,28.3571,154.49370277078086,15449.37%,7029.0,2.308374384236453,230.84%,0.0,1.6936,0.0,0.00%,2.0,0.07779074290159471,7.78%,135044.1,221570.97,30.8249,30.82,31.5224,31.52,,N/A,110785.485,110785.49,直播营销目标池
2026-03,2026-03-18,account,抖音-星途汽车直营中心,,4061.0,34.29,247864.68,247864.68,61.0354,61.04,7228.4829,7228.48,4944.0,280.3571,17.634649681528664,1763.46%,5080.0,1.25092341787737,125.09%,0.0,2.4493,0.0,0.00%,0.0,0.0,0.00%,165753.09,170753.09,33.5261,33.53,33.6128,33.61,,N/A,,N/A,官方+直营目标池
2026-03,2026-03-18,account,星途星纪元,,0.0,0.0,,N/A,,N/A,,N/A,2.0,0.0,,N/A,3.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,0.0,0.00,0.0,0.00,,N/A,,N/A,星途星纪元
2026-03,2026-03-18,account_total,线索组汇总,,7106.0,60.0,433763.19,433763.19,61.0418,61.04,7229.3865,7229.39,9433.0,106.4286,88.63221476510067,8863.22%,15049.0,2.1177877849704476,211.78%,0.0,3.7857,0.0,0.00%,7.0,0.11666666666666667,11.67%,330797.19,519373.43,35.0681,35.07,34.5122,34.51,,N/A,74196.2043,74196.20,
