report_month,date,scope_type,scope_name,parent_account,lead_target_month,deal_target_month,lead_cost_target_month,lead_cost_target_month_disp,cpl_target,cpl_target_disp,cps_target,cps_target_disp,daily_leads,daily_lead_target,daily_lead_attain,daily_lead_attain_pct,mtd_leads,mtd_lead_attain,mtd_lead_attain_pct,daily_deals,daily_deal_target,daily_deal_attain,daily_deal_attain_pct,mtd_deals,mtd_deal_attain,mtd_deal_attain_pct,daily_spend,mtd_spend,daily_cpl,daily_cpl_disp,mtd_cpl,mtd_cpl_disp,daily_cps,daily_cps_disp,mtd_cps,mtd_cps_disp,target_pool
2026-03,2026-03-22,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,,N/A,1.0,,N/A,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.00,快手-EXEED星途
2026-03,2026-03-22,account,抖音-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,3.0,0.0,,N/A,248.0,,N/A,0.0,0.0,,N/A,3.0,,N/A,0.0,16759.92,0.0,0.00,67.5803,67.58,,N/A,5586.64,5586.64,抖音-EXEED星途
2026-03,2026-03-22,account,抖音-星途汽车官方直播间,,14476.0,65.1429,247864.68,247864.68,17.1225,17.12,3804.9403,3804.94,0.0,995.1,0.0,0.00%,4525.0,0.31258634982039235,31.26%,1.0,5.9143,0.16908212560386476,16.91%,7.0,0.1074561403508772,10.75%,0.0,184380.39,,N/A,40.747,40.75,0.0,0.00,26340.0557,26340.06,官方+直营目标池
2026-03,2026-03-22,account,抖音-星途汽车直播营销中心,,10857.0,48.8571,185898.51,185898.51,17.1225,17.12,3804.9403,3804.94,1.0,260.2,0.0038431975403535744,0.38%,8256.0,0.7604310583033987,76.04%,0.0,4.4857,0.0,0.00%,4.0,0.08187134502923976,8.19%,0.0,264213.14,0.0,0.00,32.0026,32.00,,N/A,66053.285,66053.29,直播营销目标池
2026-03,2026-03-22,account,抖音-星途汽车直营中心,,14476.0,65.1429,247864.68,247864.68,17.1225,17.12,3804.9403,3804.94,0.0,937.2,0.0,0.00%,5104.0,0.3525835866261398,35.26%,0.0,6.4143,0.0,0.00%,1.0,0.015350877192982457,1.54%,0.0,170753.09,,N/A,33.4548,33.45,,N/A,170753.09,170753.09,官方+直营目标池
2026-03,2026-03-22,account,星途星纪元,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,3.0,,N/A,0.0,0.0,,N/A,1.0,,N/A,0.0,0.0,,N/A,0.0,0.00,,N/A,0.0,0.00,星途星纪元
2026-03,2026-03-22,account_total,线索组汇总,,25333.0,114.0,433763.19,433763.19,17.1225,17.12,3804.9403,3804.94,1.0,744.9,0.0013424620754463688,0.13%,17885.0,0.7059961315280464,70.60%,1.0,10.3,0.0970873786407767,9.71%,12.0,0.10526315789473684,10.53%,0.0,619346.62,0.0,0.00,34.6294,34.63,0.0,0.00,51612.2183,51612.22,
