report_month,date,scope_type,scope_name,parent_account,lead_target_month,deal_target_month,lead_cost_target_month,lead_cost_target_month_disp,cpl_target,cpl_target_disp,cps_target,cps_target_disp,daily_leads,daily_lead_target,daily_lead_attain,daily_lead_attain_pct,mtd_leads,mtd_lead_attain,mtd_lead_attain_pct,daily_deals,daily_deal_target,daily_deal_attain,daily_deal_attain_pct,mtd_deals,mtd_deal_attain,mtd_deal_attain_pct,daily_spend,mtd_spend,daily_cpl,daily_cpl_disp,mtd_cpl,mtd_cpl_disp,daily_cps,daily_cps_disp,mtd_cps,mtd_cps_disp,target_pool
2026-03,2026-03-23,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,,N/A,1.0,,N/A,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.00,快手-EXEED星途
2026-03,2026-03-23,account,抖音-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,1.0,0.0,,N/A,249.0,,N/A,0.0,0.0,,N/A,3.0,,N/A,0.0,19651.81,0.0,0.00,78.9229,78.92,,N/A,6550.6033,6550.60,抖音-EXEED星途
2026-03,2026-03-23,account,抖音-星途汽车官方直播间,,14476.0,65.1429,247864.68,247864.68,17.1225,17.12,3804.9403,3804.94,15.0,1105.6667,0.013566475731082302,1.36%,4540.0,0.31362254766510084,31.36%,0.0,6.4603,0.0,0.00%,7.0,0.1074561403508772,10.75%,0.0,184380.39,0.0,0.00,40.6124,40.61,,N/A,26340.0557,26340.06,官方+直营目标池
2026-03,2026-03-23,account,抖音-星途汽车直播营销中心,,10857.0,48.8571,185898.51,185898.51,17.1225,17.12,3804.9403,3804.94,2.0,289.0,0.006920415224913495,0.69%,8258.0,0.7606152712535691,76.06%,0.0,4.9841,0.0,0.00%,4.0,0.08187134502923976,8.19%,0.0,264213.14,0.0,0.00,31.9948,31.99,,N/A,66053.285,66053.29,直播营销目标池
2026-03,2026-03-23,account,抖音-星途汽车直营中心,,14476.0,65.1429,247864.68,247864.68,17.1225,17.12,3804.9403,3804.94,1.0,1041.3333,0.0009603072983354674,0.10%,5105.0,0.3526526664824537,35.27%,0.0,7.127,0.0,0.00%,1.0,0.015350877192982457,1.54%,0.0,170753.09,0.0,0.00,33.4482,33.45,,N/A,170753.09,170753.09,官方+直营目标池
2026-03,2026-03-23,account,星途星纪元,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,3.0,,N/A,0.0,0.0,,N/A,1.0,,N/A,0.0,0.0,,N/A,0.0,0.00,,N/A,0.0,0.00,星途星纪元
2026-03,2026-03-23,account_total,线索组汇总,,25333.0,114.0,433763.19,433763.19,17.1225,17.12,3804.9403,3804.94,18.0,827.5556,0.021750805585392052,2.18%,17903.0,0.7067066671929894,70.67%,0.0,11.3333,0.0,0.00%,12.0,0.10526315789473684,10.53%,0.0,619346.62,0.0,0.00,34.5946,34.59,,N/A,51612.2183,51612.22,
