date,report_bucket,unique_leads,deals_contrib
2026-05-28,直播归因,250,1.0
2026-05-28,自然流入/沉淀,31,0.0
2026-05-27,直播归因,1419,1.0
2026-05-27,自然流入/沉淀,20,0.0
2026-05-26,直播归因,2,0.0
2026-05-26,自然流入/沉淀,917,1.0
2026-05-25,直播归因,4,3.0
2026-05-25,自然流入/沉淀,1434,0.0
2026-05-24,自然流入/沉淀,937,0.0
2026-05-23,直播归因,199,1.0
2026-05-23,自然流入/沉淀,525,1.0
2026-05-22,直播归因,342,1.0
2026-05-22,自然流入/沉淀,320,2.0
2026-05-21,直播归因,241,2.0
2026-05-21,自然流入/沉淀,420,1.0
2026-05-20,直播归因,296,2.0
2026-05-20,自然流入/沉淀,397,1.0
2026-05-19,直播归因,3,2.0
2026-05-19,自然流入/沉淀,355,0.0
2026-05-18,直播归因,254,1.0
2026-05-18,自然流入/沉淀,253,0.0
2026-05-17,直播归因,1,0.0
2026-05-17,自然流入/沉淀,380,0.0
2026-05-16,直播归因,294,0.0
2026-05-16,自然流入/沉淀,25,0.0
2026-05-15,直播归因,213,1.0
2026-05-15,自然流入/沉淀,22,0.0
