report_month,date,scope_type,scope_name,parent_account,lead_target_month,deal_target_month,lead_cost_target_month,lead_cost_target_month_disp,cpl_target,cpl_target_disp,cps_target,cps_target_disp,daily_leads,daily_lead_target,daily_lead_attain,daily_lead_attain_pct,mtd_leads,mtd_lead_attain,mtd_lead_attain_pct,daily_deals,daily_deal_target,daily_deal_attain,daily_deal_attain_pct,mtd_deals,mtd_deal_attain,mtd_deal_attain_pct,daily_spend,mtd_spend,daily_cpl,daily_cpl_disp,mtd_cpl,mtd_cpl_disp,daily_cps,daily_cps_disp,mtd_cps,mtd_cps_disp,target_pool
2026-03,2026-03-15,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,,N/A,1.0,,N/A,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.00,快手-EXEED星途
2026-03,2026-03-15,account,抖音-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,4.0,0.0,,N/A,52.0,,N/A,0.0,0.0,,N/A,2.0,,N/A,500.0,3014.84,125.0,125.00,57.9777,57.98,,N/A,1507.42,1507.42,抖音-EXEED星途
2026-03,2026-03-15,account,抖音-星途汽车官方直播间,,4061.0,34.29,247864.68,247864.68,61.0354,61.04,7228.4829,7228.48,1082.0,196.7647,5.4989536621823625,549.90%,1798.0,0.44274809160305345,44.27%,0.0,1.7229,0.0,0.00%,5.0,0.1458151064450277,14.58%,35067.94,63518.46,32.4103,32.41,35.3273,35.33,,N/A,12703.692,12703.69,官方+直营目标池
2026-03,2026-03-15,account,抖音-星途汽车直播营销中心,,3045.0,25.71,185898.51,185898.51,61.0504,61.05,7230.5916,7230.59,0.0,133.5882,0.0,0.00%,774.0,0.2541871921182266,25.42%,0.0,1.3947,0.0,0.00%,2.0,0.07779074290159471,7.78%,0.0,25475.12,,N/A,32.9136,32.91,,N/A,12737.56,12737.56,直播营销目标池
2026-03,2026-03-15,account,抖音-星途汽车直营中心,,4061.0,34.29,247864.68,247864.68,61.0354,61.04,7228.4829,7228.48,2.0,238.4118,0.00838884776708611,0.84%,10.0,0.002462447672986949,0.25%,0.0,2.0171,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.00,0.0,0.00,,N/A,,N/A,官方+直营目标池
2026-03,2026-03-15,account_total,线索组汇总,,7106.0,60.0,433763.19,433763.19,61.0418,61.04,7229.3865,7229.39,1084.0,329.8824,3.2860199714693294,328.60%,2582.0,0.36335491134252745,36.34%,0.0,3.1176,0.0,0.00%,7.0,0.11666666666666667,11.67%,35067.94,88993.58,32.3505,32.35,34.4669,34.47,,N/A,12713.3686,12713.37,
