标准账号,unique_leads,unowned_leads,unowned_ratio_pct
抖音-星途汽车官方直播间,4481,192,4.28%
抖音-EXEED星途,240,7,2.92%
抖音-星途汽车直营中心,5093,5,0.10%
抖音-星途汽车直播营销中心,7706,7,0.09%
