标准账号,unique_leads,unowned_leads,unowned_ratio_pct
抖音-星途汽车官方直播间,1808,192,10.62%
抖音-EXEED星途,55,4,7.27%
抖音-星途汽车直播营销中心,1711,7,0.41%
