snapshot_date,analysis_mode,subject_area,grain,dimension_key,metric_name,metric_value,evidence_mode,topic_name,table_name,raw_evidence_required,source_scope,migration_status,schema_version,metric_version,run_id
2026-05-28,unified-fact,funnel,stage,subject_total,count,22945.0,unified,funnel,funnel,False,fact_attribution,unified_managed,1.0.0,metric-v1,run-20260530T083218Z
2026-05-28,unified-fact,funnel,stage,subject_total,rate_vs_total,1.0,unified,funnel,funnel,False,fact_attribution,unified_managed,1.0.0,metric-v1,run-20260530T083218Z
2026-05-28,unified-fact,funnel,stage,matched_subjects,count,22320.0,unified,funnel,funnel,False,fact_attribution,unified_managed,1.0.0,metric-v1,run-20260530T083218Z
2026-05-28,unified-fact,funnel,stage,matched_subjects,rate_vs_total,0.9727609500980606,unified,funnel,funnel,False,fact_attribution,unified_managed,1.0.0,metric-v1,run-20260530T083218Z
2026-05-28,unified-fact,funnel,stage,unowned_subjects,count,625.0,unified,funnel,funnel,False,fact_attribution,unified_managed,1.0.0,metric-v1,run-20260530T083218Z
2026-05-28,unified-fact,funnel,stage,unowned_subjects,rate_vs_total,0.02723904990193942,unified,funnel,funnel,False,fact_attribution,unified_managed,1.0.0,metric-v1,run-20260530T083218Z
2026-05-28,unified-fact,funnel,stage,ordered_subjects,count,114.0,unified,funnel,funnel,False,fact_attribution,unified_managed,1.0.0,metric-v1,run-20260530T083218Z
2026-05-28,unified-fact,funnel,stage,ordered_subjects,rate_vs_total,0.00496840270211375,unified,funnel,funnel,False,fact_attribution,unified_managed,1.0.0,metric-v1,run-20260530T083218Z
2026-05-28,unified-fact,funnel,stage,dealt_subjects,count,91.0,unified,funnel,funnel,False,fact_attribution,unified_managed,1.0.0,metric-v1,run-20260530T083218Z
2026-05-28,unified-fact,funnel,stage,dealt_subjects,rate_vs_total,0.00396600566572238,unified,funnel,funnel,False,fact_attribution,unified_managed,1.0.0,metric-v1,run-20260530T083218Z
2026-05-28,unified-fact,sla,overall,overall,deal_subjects,91.0,unified,sla,sla,False,fact_attribution,unified_managed,1.0.0,metric-v1,run-20260530T083218Z
