snapshot_date,analysis_mode,evidence_mode,subject_area,topic_name,table_name,grain,dimension_key,metric_name,metric_value,raw_evidence_required,source_scope,migration_status,schema_version,metric_version,run_id
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_overall,dimension,首次跟进->到店,<=72小时达标率(%),70.97,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,table,ALL,row_count,8.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,直播,线索量,778.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,其他,线索量,583.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,私信,线索量,31.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,星途星纪元直播营销中心,线索量,29.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,星途汽车直播营销中心,线索量,19.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,私信投放,线索量,3.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,主页,线索量,2.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,EXEED星途,线索量,1.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,直播,平均创建到下发_分钟,0.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,其他,平均创建到下发_分钟,0.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,私信,平均创建到下发_分钟,0.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,星途星纪元直播营销中心,平均创建到下发_分钟,0.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,星途汽车直播营销中心,平均创建到下发_分钟,0.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,私信投放,平均创建到下发_分钟,0.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,主页,平均创建到下发_分钟,0.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,EXEED星途,平均创建到下发_分钟,0.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,直播,创建到下发_15分钟达标率,100.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
